name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
El Paso Community College,235,0,0,0,2,1,1,5,1,4,111,58,53,0,0,0,110,51,59,0,0,0,0,0,0,30468,109,56,53,226,93,133,725,336,389,25917,10995,14922,51,23,28,2454,1085,1369,6,2,4,346,153,193
Episcopal Theological Seminary of the Southwest,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Exposito School of Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,0,1,0,1,1,0,1,12,2,10,0,0,0,44,1,43,0,0,0,0,0,0
Florida Career College-Houston Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth Beauty School,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,0,0,0,0,8,0,8,9,0,9,0,0,0,42,2,40,0,0,0,1,0,1
Fortis College,,,,,,,,,,,,,,,,,,,,,,,,,,382,2,0,2,3,0,3,243,19,224,107,11,96,0,0,0,20,3,17,1,0,1,6,2,4
Fortis College-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,304,2,0,2,4,2,2,112,12,100,127,19,108,0,0,0,52,4,48,6,0,6,1,0,1
Fortis Institute,,,,,,,,,,,,,,,,,,,,,,,,,,333,1,0,1,4,0,4,125,45,80,104,25,79,0,0,0,19,5,14,3,1,2,77,23,54
Frank Phillips College,,,,,,,,,,,,,,,,,,,,,,,,,,1148,33,14,19,9,3,6,56,32,24,193,88,105,2,0,2,801,372,429,0,0,0,52,26,26
GA Beauty & Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galen College of Nursing-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,1119,3,0,3,11,1,10,99,17,82,324,40,284,2,0,2,214,29,185,18,2,16,448,77,371
Galveston College,26,1,1,0,1,1,0,4,1,3,4,2,2,0,0,0,16,9,7,0,0,0,0,0,0,2131,7,1,6,54,25,29,358,138,220,634,261,373,5,3,2,971,438,533,7,3,4,81,38,43
Gemini School of Visual Arts & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,7,3,4,1,0,1,0,0,0
Grace School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,0,0,0,0,10,8,2,1,0,1,0,0,0,5,5,0,0,0,0,0,0,0
Grayson College,,,,,,,,,,,,,,,,,,,,,,,,,,4843,107,35,72,54,23,31,325,153,172,599,226,373,8,2,6,3448,1425,2023,202,78,124,17,5,12
Guidance College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallmark University,,,,,,,,,,,,,,,,,,,,,,,,,,729,8,1,7,18,8,10,69,31,38,375,250,125,2,2,0,215,132,83,40,24,16,1,1,0
Hands on Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,72,0,0,0,1,0,1,16,7,9,16,4,12,0,0,0,38,10,28,0,0,0,1,0,1
Hardin-Simmons University,109,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,107,69,38,0,0,0,0,0,0,1772,4,2,2,52,34,18,115,77,38,255,121,134,1,1,0,1237,555,682,42,20,22,33,14,19
Hill College,,,,,,,,,,,,,,,,,,,,,,,,,,4495,19,9,10,23,9,14,341,140,201,879,325,554,16,4,12,2958,1148,1810,125,49,76,59,30,29
Houston Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,2171,8,3,5,277,96,181,416,162,254,565,182,383,5,2,3,603,244,359,160,53,107,57,27,30
Houston Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Community College,,,,,,,,,,,,,,,,,,,,,,,,,,57978,114,51,63,5480,2701,2779,17973,6397,11576,18362,7714,10648,137,76,61,8807,4264,4543,822,334,488,947,415,532
Houston Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston International College Cardiotech Ultrasound School,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,0,0,13,6,7,27,5,22,6,2,4,1,1,0,13,2,11,1,0,1,0,0,0
Houston School of Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Training School-Gulfgate,,,,,,,,,,,,,,,,,,,,,,,,,,277,0,0,0,1,0,1,64,1,63,211,4,207,0,0,0,1,0,1,0,0,0,0,0,0
Houston Training School-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,177,0,0,0,0,0,0,20,2,18,157,0,157,0,0,0,0,0,0,0,0,0,0,0,0
Houston Training Schools-Gessner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
