name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,0,7,6,1,9,5,4,19,6,13,0,0,0,5,2,3,0,0,0,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,0,0,0,0,1,1,0,11,1,10,0,0,0,2,1,1,0,0,0,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0,5,1,4,9,4,5,0,0,0,1,0,1,0,0,0,0,0,0
International Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,0,0,30,5,25,3,1,2,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,245,0,0,0,1,0,1,7,3,4,204,79,125,0,0,0,31,13,18,0,0,0,2,0,2
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,311,0,0,0,0,0,0,4,1,3,288,80,208,0,0,0,19,7,12,0,0,0,0,0,0
Jacksonville College-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,560,5,3,2,4,3,1,94,41,53,150,61,89,0,0,0,281,122,159,20,4,16,0,0,0
Jarvis Christian College,,,,,,,,,,,,,,,,,,,,,,,,,,603,7,5,2,0,0,0,506,269,237,45,38,7,1,1,0,44,31,13,0,0,0,0,0,0
Jay's Technical Institute,,,,,,,,,,,,,,,,,,,,,,,,,,139,0,0,0,0,0,0,129,85,44,8,3,5,0,0,0,1,0,1,0,0,0,1,0,1
K & G 5 Star Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
