name,tenured_total,white_tenured,white_men_tenured,white_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,ind_tenured,ind_men_tenured,ind_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,white_student,white_men_student,white_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,asian_student,asian_men_student,asian_women_student,ind_student,ind_men_student,ind_women_student,unknown_student,unknown_men_student,unknown_women_student
The University of Texas at Dallas,194,152,125,27,4,4,0,5,4,1,32,31,1,1,1,0,0,0,0,184,88,9,79,68,9,59,22,3,19,3,0,3,1,0,1,1,0,1
The University of Texas at El Paso,257,195,153,42,4,2,2,42,34,8,11,9,2,2,1,1,0,0,0,179,50,5,45,52,4,48,74,8,66,3,0,3,0,0,0,0,0,0
The University of Texas at Tyler,83,80,59,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6055,1658,736,922,1723,566,1157,2221,895,1326,210,120,90,29,13,16,78,39,39
Texas Chiropractic College Foundation Inc,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,12,1,11,20,0,20,22,2,20,97,21,76,0,0,0,0,0,0
Texas Christian University,237,216,156,60,5,1,4,7,5,2,9,7,2,0,0,0,0,0,0,4411,2829,1111,1718,784,358,426,343,127,216,26,12,14,21,8,13,0,0,0
Texas College,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,52,0,0,0,10,1,9,42,4,38,0,0,0,0,0,0,0,0,0
University of North Texas Health Science Center,51,45,42,3,0,0,0,1,1,0,4,3,1,1,1,0,0,0,0,27825,17967,7321,10646,2936,870,2066,4384,1725,2659,1521,716,805,131,48,83,334,126,208
Texas Lutheran University,32,29,19,10,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,8200,4019,2183,1836,1147,552,595,1352,714,638,868,460,408,47,29,18,175,89,86
The University of Texas of the Permian Basin,38,35,25,10,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,21675,15299,6824,8475,2243,889,1354,1949,875,1074,968,449,519,167,81,86,416,223,193
The University of Texas at San Antonio,246,180,134,46,3,2,1,33,26,7,25,22,3,5,4,1,0,0,0,2212,1753,669,1084,242,59,183,188,98,90,8,2,6,12,6,6,0,0,0
Texas Southern University,160,24,17,7,113,70,43,5,2,3,18,12,6,0,0,0,0,0,0,24,9,4,5,1,1,0,10,8,2,4,4,0,0,0,0,0,0,0
Texas Tech University,518,465,365,100,4,4,0,13,11,2,33,26,7,1,1,0,0,0,0,111,93,90,3,7,7,0,8,8,0,1,1,0,2,2,0,0,0,0
Texas Wesleyan University,79,72,47,25,1,1,0,4,4,0,2,2,0,0,0,0,0,0,0,4579,2482,1020,1462,189,61,128,1822,706,1116,29,11,18,51,26,25,0,0,0
Texas Woman's University,183,164,56,108,7,0,7,7,3,4,2,1,1,2,0,2,0,0,0,328,205,8,197,54,4,50,46,3,43,22,4,18,1,0,1,0,0,0
Trinity University,154,142,110,32,1,1,0,6,6,0,5,4,1,0,0,0,0,0,0,113,79,3,76,11,0,11,21,0,21,1,1,0,1,0,1,0,0,0
